abbey	noun	a church associated with a monastery or convent
abhor	verb	find repugnant
abide	verb	dwell
about	adverb	imprecise but fairly close to correct
above	adverb	at an earlier place
abuse	verb	treat badly
abyss	noun	a bottomless gulf or pit
actor	noun	a theatrical performer
acute	adjective	having or experiencing a rapid onset and short but severe course
adapt	verb	make fit for, or change to suit a new purpose
adept	adjective	having or showing knowledge and skill and aptitude
admit	verb	declare to be true or admit the existence or reality or truth of
adopt	verb	choose and follow
adore	verb	love intensely
adorn	verb	make more attractive by adding ornament, colour, etc.
adult	noun	a fully developed person from maturity onward
affix	verb	attach to
after	adverb	happening at a time subsequent to a reference time
again	adverb	anew
agent	noun	an active and efficient cause
agile	adjective	moving quickly and lightly
agony	noun	intense feelings of suffering
agree	verb	be in accord
ahead	adverb	at or in the front
aisle	noun	a long narrow passage (as in a cave or woods)
alarm	noun	fear resulting from the awareness of danger
album	noun	one or more recordings issued together
alert	verb	warn or arouse to a sense of danger or call to a state of preparedness
alien	adjective	not contained in or deriving from the essential nature of something
align	verb	place in a line or arrange so as to be parallel or straight
alike	adjective	having the same or similar characteristics
alive	adjective	possessing life
alley	noun	a narrow street with walls on both sides
allot	verb	give out
allow	verb	make it possible through a specific action or lack of action for something to happen
alone	adverb	without any others being included or involved
along	adverb	with a forward motion
aloof	adjective	remote in manner
aloud	adverb	using the voice
alter	verb	cause to change
amass	verb	collect or gather
amaze	verb	affect with wonder
amber	adjective	of a medium to dark brownish yellow color
amble	verb	walk leisurely
amend	verb	make amendments to
amiss	adjective	not functioning properly
ample	adjective	more than enough in size or scope or capacity
amply	adverb	to an ample degree or in an ample manner
amuse	verb	occupy in an agreeable, entertaining or pleasant fashion
angel	noun	spiritual being attendant upon God
anger	noun	a strong emotion
angle	noun	the space between two lines or planes that intersect
angry	adjective	feeling or showing anger
angst	noun	an acute but unspecific feeling of anxiety
annoy	verb	cause annoyance in
anvil	noun	a heavy block of iron or steel on which hot metals are shaped by hammering
apart	adverb	separated or at a distance in place or position or time
apple	noun	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
apply	verb	put into service
ardor	noun	a feeling of strong eagerness (usually in favor of a person or cause)
arena	noun	a particular environment or walk of life
argue	verb	present reasons and arguments
arise	verb	come into existence
armor	noun	protective covering made of metal and used in combat
aroma	noun	any property detected by the olfactory system
array	noun	an orderly arrangement
arrow	noun	a mark to indicate a direction or relation
ashen	adjective	anemic looking from illness or emotion
aside	adverb	on or to one side
asset	noun	a useful or valuable quality
attic	noun	floor consisting of open space at the top of a house just below roof
audit	noun	an inspection of the accounting procedures and records by a trained accountant or CPA
avail	verb	use to one's advantage
avert	verb	prevent the occurrence of
avoid	verb	stay clear from
await	verb	look forward to the probable occurrence of
awake	adjective	not in a state of sleep
award	noun	a grant made by a law court
aware	adjective	having or showing knowledge or understanding or realization or perception
awful	adjective	exceptionally bad or displeasing
axiom	noun	a saying that is widely accepted on its own merits
bacon	noun	back and sides of a hog salted and dried or smoked
badly	adverb	to a severe or serious degree
baggy	adjective	not fitting closely
bandy	verb	toss or strike a ball back and forth
banjo	noun	a stringed instrument of the guitar family that has long neck and circular body
barge	noun	a flatbottom boat for carrying heavy loads (especially on canals)
basic	adjective	pertaining to or constituting a base or basis
basin	noun	a bowl-shaped vessel
basis	noun	a relation that provides the foundation for something
batch	noun	all the loaves of bread baked at the same time
bathe	verb	cleanse the entire body
baton	noun	a thin tapered rod used by a conductor to lead an orchestra or choir
beach	noun	an area of sand sloping down to the water of a sea or lake
beady	adjective	small and round and shiny like a shiny bead or button
beard	noun	the hair growing on the lower part of a man's face
beast	noun	a living organism characterized by voluntary movement
beefy	adjective	muscular and heavily built
befit	verb	accord or comport with
begin	verb	take the first step or steps in carrying out an action
being	noun	the state or fact of existing
belch	noun	a reflex that expels gas noisily from the stomach through the mouth
belie	verb	be in contradiction with
belly	noun	the region of the body of a vertebrate between the thorax and the pelvis
below	adverb	in or to a place that is lower
bench	noun	a long seat for more than one person
berry	noun	any of numerous small and pulpy edible fruits
berth	noun	a job in an organization
beset	verb	annoy continually or chronically
bible	noun	the sacred writings of the Christian religions
birth	noun	the time when something begins (especially life)
black	adjective	being of the achromatic color of maximum darkness
blade	noun	especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
blame	verb	put or pin the blame on
bland	adjective	lacking taste or flavor or tang
blank	adjective	not written or printed on
blare	noun	a loud harsh or strident noise
blast	verb	make a strident sound
blaze	verb	shine brightly and intensively
bleak	adjective	offering little or no hope
bleed	verb	lose blood from one's body
blend	verb	combine into one
bless	verb	give a benediction to
blind	adjective	unable to see
blink	verb	briefly shut the eyes
block	noun	a solid piece of something (usually having flat rectangular sides)
blond	adjective	being or having light colored skin and hair and usually blue or grey eyes
bloom	verb	produce or yield flowers
blown	adjective	being moved or acted upon by moving air or vapor
bluff	noun	a high steep bank (usually formed by river erosion)
blunt	verb	make less intense
blurt	verb	utter impulsively
blush	verb	turn red, as if in embarrassment or shame
board	noun	a committee having supervisory powers
boast	verb	show off
bogus	adjective	fraudulent
bonus	noun	anything that tends to arouse
boost	noun	the act of giving hope or support to someone
booth	noun	a table (in a restaurant or bar) surrounded by two high-backed benches
booze	noun	an alcoholic beverage that is distilled rather than fermented
bough	noun	any of the larger branches of a tree
bound	verb	move forward by leaps and bounds
boxer	noun	someone who fights with his fists for sport
brace	verb	prepare (oneself) for something unpleasant or difficult
braid	noun	a hairdo formed by braiding or twisting the hair
brain	noun	that part of the central nervous system that includes all the higher nervous centers
brake	noun	a restraint used to slow or stop a vehicle
brand	noun	a name given to a product or service
brash	adjective	offensively bold
brass	noun	an alloy of copper and zinc
brave	adjective	possessing or displaying courage
break	verb	terminate
breed	noun	a special variety of domesticated animals within a species
bribe	noun	payment made to a person in a position of trust to corrupt his judgment
brick	noun	rectangular block of clay baked by the sun or in a kiln
bride	noun	a woman who has recently been married
brief	adjective	of short duration or distance
bring	verb	take something or somebody with oneself somewhere
brink	noun	a region marking a boundary
brisk	adjective	quick and energetic
broad	adjective	having great (or a certain) extent from one side to the other
broil	verb	cook under a broiler
broke	adjective	lacking funds
brood	noun	the young of an animal cared for at one time
brook	noun	a natural stream of water smaller than a river (and often a tributary of a river)
broom	noun	a cleaning implement for sweeping
brown	adjective	of a color similar to that of wood or earth
brush	noun	a dense growth of bushes
brute	noun	a cruelly rapacious person
buddy	noun	a close friend who accompanies his buddies in their activities
budge	verb	move very slightly
buggy	noun	a small lightweight carriage
bugle	noun	a brass instrument without valves
build	verb	make by combining materials and parts
built	adjective	having a substance (an abrasive or filler) added to increase effectiveness
bulge	noun	something that bulges out or is protuberant or projects from its surroundings
bulky	adjective	of large size for its weight
bully	noun	a cruel and brutal fellow
bunch	noun	a grouping of a number of similar things
burly	adjective	muscular and heavily built
burnt	adjective	ruined by overcooking
burst	verb	come open suddenly and violently, as if from internal pressure
bushy	adjective	used of hair
buyer	noun	a person who buys
cabin	noun	small room on a ship or boat where people sleep
cable	noun	a telegram sent abroad
cache	noun	a hidden storage space (for money or provisions or weapons)
